"Date","Price","Open","High","Low","Change %"
"08/25/2023","5.485","5.493","5.516","5.475","0.18%"
"08/24/2023","5.475","5.478","5.522","5.464","0.13%"
"08/23/2023","5.468","5.483","5.483","5.457","0.11%"
"08/22/2023","5.462","5.466","5.468","5.463","0.33%"
"08/21/2023","5.444","5.469","5.491","5.442","-0.02%"
"08/18/2023","5.445","5.469","5.490","5.440","-0.06%"
"08/17/2023","5.448","5.490","5.497","5.448","-0.06%"
"08/16/2023","5.451","5.472","5.472","5.448","0.00%"
"08/15/2023","5.451","5.455","5.468","5.447","0.17%"
"08/14/2023","5.442","5.481","5.481","5.434","0.18%"
"08/11/2023","5.432","5.450","5.474","5.430","-0.09%"
"08/10/2023","5.437","5.498","5.498","5.437","-0.17%"
"08/09/2023","5.446","5.454","5.454","5.446","-0.29%"
"08/08/2023","5.462","5.455","5.481","5.444","0.52%"
"08/07/2023","5.434","5.449","5.531","5.411","0.07%"
"08/04/2023","5.430","5.446","5.493","5.410","-0.13%"
"08/03/2023","5.437","5.441","5.537","5.412","0.22%"
"08/02/2023","5.425","5.418","5.426","5.405","-0.09%"
"08/01/2023","5.430","5.430","5.453","5.416","0.11%"
"07/31/2023","5.424","5.487","5.517","5.416","-0.15%"
"07/28/2023","5.432","5.487","5.492","5.427","-0.09%"
"07/27/2023","5.437","5.475","5.510","5.432","-0.02%"
"07/26/2023","5.438","5.438","5.490","5.433","0.06%"